match id,entity,type,positive,sentiment,divisie
473612,Antifa,ORG,5,positive,Eredivisie
473612,bekliyoruz bugn,FAC,1,negative,Eredivisie
473612,Haydi,GPE,1,negative,Eredivisie
473612,0111,CARDINAL,1,negative,Eredivisie
473612,Aydna sahip,WORK_OF_ART,1,negative,Eredivisie
473612,Spende fr,ORG,1,negative,Eredivisie
473612,PVV,ORG,5,positive,Eredivisie
473612,Vlaams Belang,ORG,5,positive,Eredivisie
473612,Feyenoord,ORG,5,positive,Eredivisie
473612,Also I,PERSON,5,positive,Eredivisie
473612,I speaks,PERSON,5,positive,Eredivisie
473612,english,PERSON,5,positive,Eredivisie
473612,23,CARDINAL,5,positive,Eredivisie
473612,97,CARDINAL,5,positive,Eredivisie
473612,1,CARDINAL,5,positive,Eredivisie
473612,1,CARDINAL,5,positive,Eredivisie
473612,UEFA C,ORG,5,positive,Eredivisie
473612,Feyenoord,NORP,5,positive,Eredivisie
473612,Orkun,WORK_OF_ART,5,positive,Eredivisie
473612,tweede,ORDINAL,5,positive,Eredivisie
473612,Feyenoord,ORG,5,positive,Eredivisie
473612,YNWA,ORG,5,positive,Eredivisie
473612,W211,ORG,5,positive,Eredivisie
473612,Feyenoord,ORG,5,positive,Eredivisie
473612,YNWA,ORG,5,positive,Eredivisie
473612,W211,ORG,5,positive,Eredivisie
473612,WOOWWWW,ORG,1,negative,Eredivisie
473612,ORKUN,ORG,1,negative,Eredivisie
473612,53,CARDINAL,1,negative,Eredivisie
473612,1,CARDINAL,1,negative,Eredivisie
473612,2,CARDINAL,1,negative,Eredivisie
473612,Feyenoord,ORG,1,negative,Eredivisie
473612,YNWA,ORG,1,negative,Eredivisie
473612,W211,ORG,1,negative,Eredivisie
473612,Feyenoord,ORG,5,positive,Eredivisie
473612,YNWA,ORG,5,positive,Eredivisie
473612,W211,ORG,5,positive,Eredivisie
473612,Drie,CARDINAL,5,positive,Eredivisie
473612,Damme,PERSON,5,positive,Eredivisie
473612,1948,DATE,5,positive,Eredivisie
473612,LucasWoudenberg,LOC,5,positive,Eredivisie
473612,Jornada,GPE,1,negative,Eredivisie
473612,20,CARDINAL,1,negative,Eredivisie
473612,NEC Nijmegen,ORG,1,negative,Eredivisie
473612,1,CARDINAL,1,negative,Eredivisie
473612,4,CARDINAL,1,negative,Eredivisie
473612,1,CARDINAL,1,negative,Eredivisie
473612,1,CARDINAL,1,negative,Eredivisie
473612,Eagles Sparta,ORG,1,negative,Eredivisie
473612,15,CARDINAL,1,negative,Eredivisie
473612,Años,GPE,1,negative,Eredivisie
473612,del Planeta,FAC,1,negative,Eredivisie
473612,Drie,CARDINAL,5,positive,Eredivisie
473612,Amo Heavy,WORK_OF_ART,5,positive,Eredivisie
473612,livre mercado,EVENT,5,positive,Eredivisie
473612,bekliyoruz bugn,FAC,1,negative,Eredivisie
473612,Haydi,GPE,1,negative,Eredivisie
473612,0111,CARDINAL,1,negative,Eredivisie
473612,Aydna sahip,WORK_OF_ART,1,negative,Eredivisie
473612,Spende fr,ORG,1,negative,Eredivisie
473612,1905,DATE,1,negative,Eredivisie
473612,Welcome to the,ORG,5,positive,Eredivisie
473612,vgchat,GPE,5,positive,Eredivisie
473612,bekliyoruz bugn,FAC,1,negative,Eredivisie
473612,Haydi,GPE,1,negative,Eredivisie
473612,0111,CARDINAL,1,negative,Eredivisie
473612,Aydna sahip,WORK_OF_ART,1,negative,Eredivisie
473612,Spende fr,FAC,1,negative,Eredivisie
473612,Anlatsaydım,PERSON,1,negative,Eredivisie
473612,herkes,PERSON,1,negative,Eredivisie
473612,FRFC,ORG,2,neutral,Eredivisie
473612,NUFC   ,ORG,2,neutral,Eredivisie
473612,Hell inside a football,ORG,2,neutral,Eredivisie
473612,Green Belt,ORG,2,neutral,Eredivisie
473612,Martial Arts,ORG,2,neutral,Eredivisie
473612,Orkun,WORK_OF_ART,5,positive,Eredivisie
473612,tweede,ORDINAL,5,positive,Eredivisie
473612,Ewa,PERSON,5,positive,Eredivisie
473612,Faka,PERSON,5,positive,Eredivisie
473612,Lasse Schne,PERSON,1,negative,Eredivisie
473612,Global History,ORG,1,negative,Eredivisie
473612,Feyenoord,ORG,1,negative,Eredivisie
473612,18,CARDINAL,1,negative,Eredivisie
473612,GOAAAAAAAAAL,ORG,1,negative,Eredivisie
473612,LASSEEEEE,ORG,1,negative,Eredivisie
473612,1,CARDINAL,1,negative,Eredivisie
473612,0,CARDINAL,1,negative,Eredivisie
473612,Netherlands,NORP,1,negative,Eredivisie
473612,LangsDeLijn,ORG,1,negative,Eredivisie
473612,Jorrit Hendrix,PERSON,1,negative,Eredivisie
473612,Martin van Geel,PERSON,1,negative,Eredivisie
473612,Nederlands,NORP,1,negative,Eredivisie
473612,Gebiedscommissie Charlois,ORG,1,negative,Eredivisie
473612,GroenLinks   Rotterdam,ORG,1,negative,Eredivisie
473612,bekliyoruz bugn,FAC,1,negative,Eredivisie
473612,Haydi,GPE,1,negative,Eredivisie
473612,0111,CARDINAL,1,negative,Eredivisie
473612,Aydna sahip,WORK_OF_ART,1,negative,Eredivisie
473612,Spende fr,ORG,1,negative,Eredivisie
473612,Joey Veerman,PERSON,3,neutral,Eredivisie
473612,Jorrit Hendrix,PERSON,3,neutral,Eredivisie
473612,Nederlands,NORP,3,neutral,Eredivisie
473612,Gebiedscommissie Charlois,ORG,3,neutral,Eredivisie
473612,GroenLinks   Rotterdam,ORG,3,neutral,Eredivisie
473612,NEC Nijmegen   Feyenoord,ORG,4,neutral,Eredivisie
473612,NEC Feyenoord,ORG,1,negative,Eredivisie
473612,Astrid,PERSON,1,negative,Eredivisie
473612,Jesse     ,PERSON,1,negative,Eredivisie
473612,OSC,ORG,1,negative,Eredivisie
473612,Ajax,ORG,1,negative,Eredivisie
473612,Liverpool,NORP,1,negative,Eredivisie
473612,Jaaaaaaaaaaa,FAC,3,neutral,Eredivisie
473612,1,CARDINAL,3,neutral,Eredivisie
473612,3,CARDINAL,3,neutral,Eredivisie
473612,100,CARDINAL,1,negative,Eredivisie
473612,opa,PERSON,1,negative,Eredivisie
473612,Nederlands,LANGUAGE,1,negative,Eredivisie
473612,Trainingsfoto,PERSON,5,positive,Eredivisie
473612,Nederland,GPE,5,positive,Eredivisie
473612,FEYENOORD Trainingsnieuws,ORG,5,positive,Eredivisie
473612,Eindhovenaar,NORP,1,negative,Eredivisie
473612,SP,ORG,1,negative,Eredivisie
473612,Proud,PERSON,3,neutral,Eredivisie
473612,Jessie,PERSON,3,neutral,Eredivisie
473612,PSV,ORG,3,neutral,Eredivisie
473612,Feyenoord   voorzitter BSBV   ,ORG,2,neutral,Eredivisie
473612,BV   films,WORK_OF_ART,2,neutral,Eredivisie
473612,ALLIIIIIII,ORG,5,positive,Eredivisie
473612,64,CARDINAL,5,positive,Eredivisie
473612,1,CARDINAL,5,positive,Eredivisie
473612,3,CARDINAL,5,positive,Eredivisie
473612,42,CARDINAL,1,negative,Eredivisie
473612,195,CARDINAL,1,negative,Eredivisie
473612,bekliyoruz bugn,FAC,1,negative,Eredivisie
473612,Haydi,GPE,1,negative,Eredivisie
473612,0111,CARDINAL,1,negative,Eredivisie
473612,Aydna sahip,WORK_OF_ART,1,negative,Eredivisie
473612,Spende fr,ORG,1,negative,Eredivisie
473612,ALLIIIIIII,ORG,5,positive,Eredivisie
473612,64,CARDINAL,5,positive,Eredivisie
473612,1,CARDINAL,5,positive,Eredivisie
473612,3,CARDINAL,5,positive,Eredivisie
473612,Lasse Schne,PERSON,1,negative,Eredivisie
473612,NEC   Feyenoord,ORG,1,negative,Eredivisie
473612,Orkun,WORK_OF_ART,5,positive,Eredivisie
473612,tweede,ORDINAL,5,positive,Eredivisie
473612,Surda bir gedik,ORG,5,positive,Eredivisie
473612,Ey kahpe,FAC,5,positive,Eredivisie
473612,rüzgar artık,PERSON,5,positive,Eredivisie
473612,ne yandan esersen es,ORG,5,positive,Eredivisie
473612,Cas Odenthal,PERSON,2,neutral,Eredivisie
473612,Feyenoord,ORG,2,neutral,Eredivisie
473612,Nederland,GPE,1,negative,Eredivisie
473612,Global History,ORG,1,negative,Eredivisie
473612,Feyenoord,ORG,1,negative,Eredivisie
473612,Aursnes,GPE,1,negative,Eredivisie
473612,Een half,DATE,1,negative,Eredivisie
473612,SC Stadskanaal,ORG,1,negative,Eredivisie
473612,Nijgh,WORK_OF_ART,1,negative,Eredivisie
473612,PvdA,ORG,1,negative,Eredivisie
473612,Nederland,GPE,1,negative,Eredivisie
473612,Freedom,ORG,1,negative,Eredivisie
473612,peace,PERSON,1,negative,Eredivisie
473612,FEYENOORD,ORG,1,negative,Eredivisie
473612,News,WORK_OF_ART,5,positive,Eredivisie
473612,Lasse Schne,PERSON,1,negative,Eredivisie
473612,NEC   Feyenoord,ORG,1,negative,Eredivisie
473612,NEC,ORG,1,negative,Eredivisie
473612,2001,DATE,1,negative,Eredivisie
473612,w3XOzvtduZ,WORK_OF_ART,1,negative,Eredivisie
473612,Orkun,WORK_OF_ART,5,positive,Eredivisie
473612,tweede,ORDINAL,5,positive,Eredivisie
473612,SHIBA ARMY,ORG,5,positive,Eredivisie
473612,GT,ORG,5,positive,Eredivisie
473612,Hertog Vin X,PERSON,5,positive,Eredivisie
473612,HertogVinX   Father,WORK_OF_ART,5,positive,Eredivisie
473612,3,CARDINAL,5,positive,Eredivisie
473612,Feyenoord fan,ORG,5,positive,Eredivisie
473612,Rotterdam,GPE,5,positive,Eredivisie
473612,SKIES,ORG,5,positive,Eredivisie
473612,ARCADIA FAN,ORG,5,positive,Eredivisie
473612,Drie,CARDINAL,5,positive,Eredivisie
473612,FT. Niet,ORG,5,positive,Eredivisie
473612,Freedom,ORG,5,positive,Eredivisie
473612,peace,PERSON,5,positive,Eredivisie
473612,FEYENOORD,ORG,5,positive,Eredivisie
473612,Drie,CARDINAL,5,positive,Eredivisie
473612,1,CARDINAL,1,negative,Eredivisie
473612,0,CARDINAL,1,negative,Eredivisie
473612,Yayn Linki,PERSON,1,negative,Eredivisie
473612,2,CARDINAL,1,negative,Eredivisie
473612,Galatasaray,ORG,1,negative,Eredivisie
473612,Trabzon,GPE,1,negative,Eredivisie
473612,Yayın,FAC,1,negative,Eredivisie
473612,bekliyoruz bugn,FAC,1,negative,Eredivisie
473612,Haydi,GPE,1,negative,Eredivisie
473612,0111,CARDINAL,1,negative,Eredivisie
473612,Aydna sahip,WORK_OF_ART,1,negative,Eredivisie
473612,Spende fr,ORG,1,negative,Eredivisie
473612,Hissediyorum,GPE,1,negative,Eredivisie
473612,9,CARDINAL,5,positive,Eredivisie
473612,95,CARDINAL,5,positive,Eredivisie
473612,Liverpool,NORP,5,positive,Eredivisie
473612,one,PERSON,5,positive,Eredivisie
473612,at a time,ORG,5,positive,Eredivisie
473612,9,CARDINAL,1,negative,Eredivisie
473612,95,CARDINAL,1,negative,Eredivisie
473612,Rotterdam,GPE,1,negative,Eredivisie
473612,010byday,DATE,1,negative,Eredivisie
473612,marcvanderstelt,DATE,1,negative,Eredivisie
473612,NEC,ORG,1,negative,Eredivisie
473612,NEC watcher,ORG,1,negative,Eredivisie
473612,j bijma gelderlander,PERSON,1,negative,Eredivisie
473612,bekliyoruz bugn,FAC,1,negative,Eredivisie
473612,Haydi,GPE,1,negative,Eredivisie
473612,0111,CARDINAL,1,negative,Eredivisie
473612,Aydna sahip,WORK_OF_ART,1,negative,Eredivisie
473612,Spende fr,ORG,1,negative,Eredivisie
473612,yana taraf olan aciz,PERSON,1,negative,Eredivisie
473612,günahkar,GPE,1,negative,Eredivisie
473612,garip bir,PERSON,1,negative,Eredivisie
473612,Orkun,WORK_OF_ART,5,positive,Eredivisie
473612,tweede,ORDINAL,5,positive,Eredivisie
473612,Welcome to the,ORG,5,positive,Eredivisie
473612,Feyenoord Rotterdam,ORG,5,positive,Eredivisie
473612,Feyenoord,ORG,5,positive,Eredivisie
473612,Cas Odenthal,PERSON,2,neutral,Eredivisie
473612,Feyenoord,ORG,2,neutral,Eredivisie
473612,NEC,ORG,2,neutral,Eredivisie
473612,2001,DATE,2,neutral,Eredivisie
473612,w3XOzvtduZ,WORK_OF_ART,2,neutral,Eredivisie
