provincie,aantal,negatief,positief,neutraal,populairste
,2,1,0,1,NEC Nijmegen - Feyenoord
Drenthe,151,56,45,50,PSV Eindhoven - Ajax
Flevoland,33,23,7,3,Willem II - FC Twente
Friesland,118,45,42,31,AZ Alkmaar - Cambuur
Gelderland,461,236,115,110,AZ Alkmaar - Cambuur
Groningen,238,101,80,57,Vitesse - FC Groningen
Limburg,218,108,58,52,RKC Waalwijk - Fortuna Sittard
Noord-Brabant,270,119,77,74,RKC Waalwijk - Fortuna Sittard
Noord-Holland,242,111,62,69,AZ Alkmaar - Cambuur
Overijssel,501,245,132,124,Heracles - Go Ahead Eagles
Utrecht,157,63,51,43,AZ Alkmaar - Cambuur
Zeeland,36,14,12,10,Willem II - FC Twente
Zuid-Holland,234,96,69,69,NEC Nijmegen - Feyenoord
